employee_id,first_name,last_name,email,salary,hire_date,department_id
1,Laura,Hammond,carpentersheila@gmail.com,6353.3,2022-04-11,5
2,Mario,Chaney,darrell22@yahoo.com,7360.93,2024-10-18,5
3,Danielle,Olsen,haileypowell@hotmail.com,10538.24,2025-01-15,7
4,Tabitha,Warren,warrendouglas@gmail.com,5573.51,2015-08-30,9
5,Amber,Patrick,mindy20@yahoo.com,7724.37,2018-07-14,10
6,Craig,Reid,melissafrost@watson.net,14759.03,2020-11-15,3
7,Jennifer,Richards,mary83@lucas.net,7736.64,2021-02-05,6
8,Rachael,Gutierrez,joshuaevans@hotmail.com,3308.72,2020-06-29,7
9,Donald,Hall,kristenwillis@yahoo.com,6752.52,2020-07-12,2
10,Devin,Berger,xbarrett@gmail.com,4306.12,2022-08-24,4
11,Donna,Wright,tmills@jackson-flores.com,12305.34,2019-11-04,2
12,Donald,Martin,lewisdavid@gmail.com,4792.22,2024-06-08,8
13,Julian,Garcia,cjones@yahoo.com,14391.04,2020-01-12,1
14,Emily,Dunn,ogarcia@davis.net,10470.32,2018-07-02,10
15,Andrea,Johnson,lawrence76@hanson.com,4287.29,2019-03-31,9
16,Scott,Lopez,denise39@hotmail.com,6487.05,2016-04-08,5
17,Renee,Lucas,jade34@yahoo.com,4264.86,2023-08-26,3
18,Stephanie,Jones,gtorres@duffy.com,5216.11,2017-03-29,5
19,Courtney,Garza,enewton@yahoo.com,5918.01,2023-09-29,6
20,Kelly,Kelley,toddmercer@gmail.com,5510.27,2021-09-28,9
21,Dustin,Elliott,curtis74@wilson.org,13521.94,2020-05-31,3
22,Melanie,Bartlett,rodriguezharry@yahoo.com,13875.57,2020-08-31,3
23,Ryan,Duarte,russellkyle@evans-grant.net,8270.26,2020-07-21,8
24,Alicia,Lynn,connie03@wells.net,5286.08,2016-01-30,7
25,David,Johnson,elizabethmoran@gilmore-mendez.org,10362.19,2017-02-04,1
26,Natalie,Yu,butlerjohn@gmail.com,14522.02,2022-12-27,3
27,Jacqueline,Wallace,hartmankristen@johnson.com,12810.13,2019-12-18,5
28,Jennifer,Nelson,ashleythompson@hotmail.com,5988.02,2021-11-22,1
29,Lance,Pace,dave79@gmail.com,7480.44,2020-10-24,3
30,April,Mercado,ronaldespinoza@miller.net,12804.58,2015-08-21,3
31,Jennifer,Phillips,uday@dixon.org,9888.89,2017-04-11,1
32,Joshua,Cruz,murphymatthew@keller-moore.com,3011.5,2015-11-11,2
33,William,Contreras,ebraun@lambert.com,10062.32,2023-12-25,6
34,Chris,Foster,sara81@kerr-terry.org,14145.98,2018-04-11,6
35,Cindy,Williams,hayesjonathan@hotmail.com,3490.96,2023-01-24,3
36,Nicholas,Welch,nicole69@kaiser.com,5081.87,2017-03-22,3
37,Jennifer,Lopez,jonesbrittany@ramos.net,7267.6,2023-09-06,3
38,Steven,Green,joshua98@gates-miller.org,9279.94,2016-03-12,7
39,John,Holloway,christopherlewis@gmail.com,4397.31,2019-07-16,9
